game,agent_0,agent_1,q_table_j0,q_table_j1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,18,30,30,18,9,3,6
2,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,14,30,30,14,6,3,3
3,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,14,30,30,14,16,6,10
4,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,2,30,30,2,7,1,6
5,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,19,19,30,11,7,4
6,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,18,18,30,12,4,8
7,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,23,23,30,13,7,6
8,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,23,23,30,19,12,7
9,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,14,14,30,9,7,2
10,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,20,30,30,20,16,6,10
11,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,23,23,30,13,7,6
12,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,19,30,30,19,10,3,7
13,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,29,29,30,9,8,1
14,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,11,11,30,11,7,4
15,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,6,6,30,6,5,1
16,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,3,30,30,3,5,1,4
17,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,21,21,30,12,3,9
18,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,7,7,30,3,1,2
19,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,13,30,30,13,16,6,10
20,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,14,30,30,14,9,2,7
21,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,29,30,30,29,19,9,10
22,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,0,0,30,1,1,0
23,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,26,26,30,14,5,9
24,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,7,30,30,7,8,3,5
25,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J1,15,30,30,15,12,2,10
26,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,7,7,30,3,2,1
27,q_learning,q_learning,game/agents/RL-Agents/q_tables/exp2_vs_rational_789987.pkl,game/agents/RL-Agents/q_tables/exp2_vs_rational_321123.pkl,J0,30,0,0,30,1,1,0
