game,agent_0,agent_1,winner,points_j0,points_j1,points_lost_j0,points_lost_j1,hands_played,hands_won_j0,hands_won_j1
1,policy_gradient_nn,rational,J1,10,30,30,10,18,5,13
2,policy_gradient_nn,rational,J1,17,30,30,17,29,14,15
3,policy_gradient_nn,rational,J1,19,30,30,19,27,16,11
4,policy_gradient_nn,rational,J1,17,30,30,17,29,15,14
5,policy_gradient_nn,rational,J1,11,30,30,11,22,8,14
6,policy_gradient_nn,rational,J1,13,30,30,13,25,12,13
7,policy_gradient_nn,rational,J1,13,30,30,13,22,9,13
8,policy_gradient_nn,rational,J1,15,30,30,15,28,14,14
9,policy_gradient_nn,rational,J1,13,30,30,13,24,12,12
10,policy_gradient_nn,rational,J1,15,30,30,15,33,13,20
11,policy_gradient_nn,rational,J1,22,30,30,22,32,20,12
12,policy_gradient_nn,rational,J1,19,30,30,19,30,18,12
13,policy_gradient_nn,rational,J1,16,30,30,16,28,15,13
14,policy_gradient_nn,rational,J1,11,30,30,11,26,9,17
15,policy_gradient_nn,rational,J1,24,30,30,24,29,21,8
16,policy_gradient_nn,rational,J1,18,30,30,18,32,16,16
17,policy_gradient_nn,rational,J1,7,30,30,7,20,7,13
18,policy_gradient_nn,rational,J1,10,30,30,10,23,9,14
19,policy_gradient_nn,rational,J1,15,30,30,15,23,8,15
20,policy_gradient_nn,rational,J1,14,30,30,14,33,14,19
21,policy_gradient_nn,rational,J1,16,30,30,16,24,16,8
22,policy_gradient_nn,rational,J1,14,30,30,14,27,12,15
23,policy_gradient_nn,rational,J1,11,30,30,11,25,11,14
24,policy_gradient_nn,rational,J1,20,30,30,20,31,15,16
25,policy_gradient_nn,rational,J1,25,30,30,25,34,20,14
26,policy_gradient_nn,rational,J1,21,30,30,21,36,17,19
27,policy_gradient_nn,rational,J1,26,30,30,26,34,23,11
28,policy_gradient_nn,rational,J1,14,30,30,14,28,14,14
29,policy_gradient_nn,rational,J1,12,30,30,12,27,11,16
30,policy_gradient_nn,rational,J1,24,30,30,24,38,21,17
31,policy_gradient_nn,rational,J1,25,30,30,25,33,20,13
32,policy_gradient_nn,rational,J1,13,30,30,13,30,12,18
33,policy_gradient_nn,rational,J1,13,30,30,13,25,13,12
34,policy_gradient_nn,rational,J0,30,14,14,30,25,19,6
35,policy_gradient_nn,rational,J1,26,30,30,26,33,18,15
36,policy_gradient_nn,rational,J1,19,30,30,19,28,16,12
37,policy_gradient_nn,rational,J1,18,30,30,18,35,17,18
38,policy_gradient_nn,rational,J1,8,30,30,8,18,7,11
39,policy_gradient_nn,rational,J1,8,30,30,8,30,8,22
40,policy_gradient_nn,rational,J1,16,30,30,16,37,16,21
41,policy_gradient_nn,rational,J1,24,30,30,24,35,22,13
42,policy_gradient_nn,rational,J1,14,30,30,14,22,13,9
43,policy_gradient_nn,rational,J1,20,30,30,20,32,19,13
44,policy_gradient_nn,rational,J1,23,30,30,23,36,20,16
45,policy_gradient_nn,rational,J1,20,30,30,20,28,19,9
46,policy_gradient_nn,rational,J1,8,30,30,8,18,8,10
47,policy_gradient_nn,rational,J1,12,30,30,12,27,12,15
48,policy_gradient_nn,rational,J1,11,30,30,11,27,11,16
49,policy_gradient_nn,rational,J1,11,30,30,11,25,11,14
50,policy_gradient_nn,rational,J1,19,30,30,19,30,18,12
51,policy_gradient_nn,rational,J1,15,30,30,15,25,14,11
52,policy_gradient_nn,rational,J1,23,30,30,23,32,18,14
53,policy_gradient_nn,rational,J1,6,30,30,6,20,6,14
54,policy_gradient_nn,rational,J1,12,30,30,12,24,12,12
55,policy_gradient_nn,rational,J1,10,30,30,10,21,10,11
56,policy_gradient_nn,rational,J1,12,30,30,12,23,11,12
57,policy_gradient_nn,rational,J1,14,30,30,14,26,13,13
58,policy_gradient_nn,rational,J1,20,30,30,20,31,17,14
59,policy_gradient_nn,rational,J1,9,30,30,9,31,9,22
60,policy_gradient_nn,rational,J1,19,30,30,19,28,14,14
61,policy_gradient_nn,rational,J1,13,30,30,13,27,11,16
62,policy_gradient_nn,rational,J1,17,30,30,17,33,15,18
63,policy_gradient_nn,rational,J1,14,30,30,14,28,13,15
64,policy_gradient_nn,rational,J1,14,30,30,14,24,11,13
65,policy_gradient_nn,rational,J1,10,30,30,10,18,7,11
66,policy_gradient_nn,rational,J0,30,28,28,30,32,22,10
67,policy_gradient_nn,rational,J1,17,30,30,17,30,17,13
68,policy_gradient_nn,rational,J1,20,30,30,20,31,18,13
69,policy_gradient_nn,rational,J1,11,30,30,11,21,10,11
70,policy_gradient_nn,rational,J1,21,30,30,21,34,20,14
71,policy_gradient_nn,rational,J1,9,30,30,9,21,8,13
72,policy_gradient_nn,rational,J1,12,30,30,12,24,10,14
73,policy_gradient_nn,rational,J1,16,30,30,16,27,14,13
74,policy_gradient_nn,rational,J1,21,30,30,21,27,18,9
75,policy_gradient_nn,rational,J1,9,30,30,9,22,8,14
76,policy_gradient_nn,rational,J1,8,30,30,8,22,8,14
77,policy_gradient_nn,rational,J1,12,30,30,12,26,12,14
78,policy_gradient_nn,rational,J1,12,30,30,12,25,11,14
79,policy_gradient_nn,rational,J1,12,30,30,12,25,12,13
80,policy_gradient_nn,rational,J1,19,30,30,19,28,17,11
81,policy_gradient_nn,rational,J1,16,30,30,16,30,13,17
82,policy_gradient_nn,rational,J1,13,30,30,13,28,11,17
83,policy_gradient_nn,rational,J1,16,30,30,16,28,16,12
84,policy_gradient_nn,rational,J1,27,30,30,27,35,21,14
85,policy_gradient_nn,rational,J1,27,30,30,27,37,23,14
86,policy_gradient_nn,rational,J1,19,30,30,19,30,15,15
87,policy_gradient_nn,rational,J1,15,30,30,15,31,15,16
88,policy_gradient_nn,rational,J1,16,30,30,16,32,13,19
89,policy_gradient_nn,rational,J1,15,30,30,15,28,14,14
90,policy_gradient_nn,rational,J1,13,30,30,13,25,11,14
91,policy_gradient_nn,rational,J1,18,30,30,18,29,14,15
92,policy_gradient_nn,rational,J1,17,30,30,17,32,16,16
